epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.515,0.0447,1.94533,1.60867,0.077,0.44975,0.07833,0.03215,0.06422,3.92319,3.35564,0.0704762,0.00328042,0.00328042
2,205.681,0.04637,1.54292,1.68648,0.34826,0.25439,0.12937,0.04969,0.0676,4.12987,3.20679,0.0402579,0.0063955,0.0063955
3,303.705,0.04656,1.47784,1.68424,0.49884,0.30607,0.25881,0.10263,0.05645,3.70622,2.44142,0.00981968,0.00929058,0.00929058
4,393.557,0.04468,1.37459,1.62954,0.56559,0.40744,0.35454,0.14474,0.05532,3.04465,2.36836,0.00901,0.00901,0.00901
5,492.631,0.04385,1.29307,1.6006,0.72242,0.36955,0.38594,0.18329,0.05197,2.4104,2.18763,0.00868,0.00868,0.00868
6,598.69,0.04257,1.28316,1.60721,0.52689,0.41761,0.46816,0.21461,0.0487,1.96573,2.00072,0.00835,0.00835,0.00835
7,688.356,0.04163,1.21839,1.54041,0.85517,0.54337,0.65821,0.30819,0.04393,1.35933,1.83112,0.00802,0.00802,0.00802
8,773.609,0.04096,1.15675,1.52213,0.78756,0.57072,0.64878,0.3111,0.04405,1.42364,1.85638,0.00769,0.00769,0.00769
9,869.849,0.04118,1.16249,1.53088,0.82492,0.59438,0.66088,0.33857,0.04241,1.40398,1.76465,0.00736,0.00736,0.00736
10,962.212,0.04104,1.14127,1.52241,0.58798,0.60429,0.6745,0.33961,0.04239,1.13695,1.79067,0.00703,0.00703,0.00703
11,1055.49,0.04056,1.09883,1.50337,0.83621,0.5931,0.7284,0.38177,0.04202,1.06091,1.75672,0.0067,0.0067,0.0067
12,1153.02,0.03934,1.04313,1.47237,0.76882,0.65049,0.76153,0.40055,0.04156,0.96969,1.74274,0.00637,0.00637,0.00637
13,1244.56,0.03946,1.04123,1.47004,0.57245,0.68272,0.70173,0.35688,0.04215,1.02755,1.73094,0.00604,0.00604,0.00604
14,1332.58,0.03853,1.01255,1.45199,0.81089,0.71623,0.77933,0.41506,0.0408,0.94243,1.69867,0.00571,0.00571,0.00571
15,1421.36,0.03837,1.01376,1.45633,0.71448,0.67973,0.74285,0.38791,0.0418,0.97296,1.72546,0.00538,0.00538,0.00538
16,1505.64,0.03828,0.97891,1.45647,0.80193,0.72637,0.77431,0.4028,0.0416,0.9624,1.74534,0.00505,0.00505,0.00505
17,1602.72,0.03873,0.99629,1.46075,0.8029,0.74526,0.77712,0.41376,0.04021,0.91715,1.70384,0.00472,0.00472,0.00472
18,1701.03,0.03815,0.97298,1.43977,0.75802,0.70676,0.77406,0.41293,0.04083,0.90654,1.73357,0.00439,0.00439,0.00439
19,1790.77,0.03787,0.94009,1.43153,0.68611,0.74059,0.78115,0.42629,0.03875,0.90332,1.64524,0.00406,0.00406,0.00406
20,1884.63,0.03739,0.91919,1.44622,0.84453,0.73332,0.80061,0.43624,0.03862,0.85596,1.64186,0.00373,0.00373,0.00373
21,2018.96,0.03655,0.87781,1.45019,0.79578,0.67714,0.79431,0.42956,0.03953,0.87029,1.64665,0.0034,0.0034,0.0034
22,2106.48,0.03624,0.82123,1.42866,0.84088,0.70915,0.81452,0.43109,0.03969,0.8593,1.64701,0.00307,0.00307,0.00307
23,2187.69,0.03612,0.81855,1.43077,0.84184,0.74312,0.79759,0.43654,0.03911,0.82223,1.66767,0.00274,0.00274,0.00274
24,2265.98,0.03571,0.79159,1.41243,0.82531,0.74592,0.8005,0.43292,0.03872,0.81224,1.61889,0.00241,0.00241,0.00241
25,2350.31,0.03577,0.78681,1.4163,0.75003,0.81628,0.83609,0.44376,0.03923,0.816,1.66813,0.00208,0.00208,0.00208
26,2439.6,0.03507,0.76544,1.40168,0.86477,0.74517,0.86215,0.47275,0.03784,0.76839,1.59675,0.00175,0.00175,0.00175
27,2519.77,0.03475,0.74211,1.382,0.86568,0.73778,0.84602,0.46972,0.03797,0.76457,1.60264,0.00142,0.00142,0.00142
28,2597,0.0343,0.72936,1.38063,0.8592,0.75111,0.83877,0.46474,0.03747,0.75271,1.59084,0.00109,0.00109,0.00109
29,2685.55,0.03389,0.71772,1.37413,0.89917,0.76387,0.84831,0.46783,0.0374,0.73731,1.59664,0.00076,0.00076,0.00076
30,2765.32,0.03331,0.70562,1.3532,0.87514,0.7707,0.83638,0.46857,0.03744,0.72947,1.59196,0.00043,0.00043,0.00043
