epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.1417,0.04976,1.83273,1.73396,0.00238,0.12748,0.00171,0.00058,0.10639,562.589,169.578,0.0579011,0.00487076,0.00487076
2,170.535,0.05425,1.73188,1.89399,0.01776,0.1831,0.01183,0.00373,0.07138,11.6416,3.31088,0.0147991,0.00949605,0.00949605
3,258.556,0.05134,1.52462,1.80146,0.16046,0.1731,0.07994,0.03467,0.06509,6.097,2.64558,0.00968565,0.00968565,0.00968565
4,341.515,0.04732,1.35047,1.67875,0.60991,0.28004,0.20238,0.08778,0.0598,3.73778,2.26728,0.00934347,0.00934347,0.00934347
5,425.392,0.04587,1.22771,1.6208,0.76418,0.34261,0.39409,0.17827,0.05166,2.2252,1.9919,0.0090013,0.0090013,0.0090013
6,516.698,0.04394,1.1293,1.56848,0.71196,0.48171,0.50788,0.21505,0.05295,1.38709,2.04512,0.00865912,0.00865912,0.00865912
7,596.598,0.04282,1.08982,1.54327,0.61594,0.47497,0.51684,0.23155,0.04831,1.73724,1.88334,0.00831695,0.00831695,0.00831695
8,687.144,0.04243,1.06092,1.53857,0.54977,0.62644,0.63445,0.28309,0.04915,1.01594,1.88959,0.00797477,0.00797477,0.00797477
9,775.9,0.04189,1.03261,1.52779,0.72272,0.45466,0.51621,0.23446,0.05003,1.38093,1.91835,0.0076326,0.0076326,0.0076326
10,860.715,0.04163,1.00164,1.49843,0.61136,0.61141,0.664,0.34123,0.04353,0.98545,1.70917,0.00729042,0.00729042,0.00729042
11,951.398,0.04047,0.97562,1.48576,0.70937,0.65919,0.70146,0.37243,0.04012,0.88465,1.586,0.00694825,0.00694825,0.00694825
12,1047.77,0.04031,0.94572,1.46439,0.6967,0.61558,0.65166,0.31567,0.0441,0.9826,1.69505,0.00660607,0.00660607,0.00660607
13,1137.99,0.04009,0.92082,1.46031,0.83391,0.55722,0.66349,0.35377,0.04255,0.95883,1.67761,0.00626389,0.00626389,0.00626389
14,1221.43,0.04017,0.90942,1.45291,0.63838,0.67684,0.69043,0.35859,0.04371,0.91068,1.67526,0.00592172,0.00592172,0.00592172
15,1323.35,0.03981,0.89468,1.44645,0.62584,0.65236,0.67824,0.32897,0.04408,0.95243,1.71398,0.00557954,0.00557954,0.00557954
16,1406.44,0.03869,0.86449,1.41199,0.68245,0.71742,0.78212,0.41297,0.04027,0.78402,1.58263,0.00523737,0.00523737,0.00523737
17,1500,0.03879,0.84906,1.42769,0.7008,0.73765,0.73623,0.38679,0.04144,0.82248,1.62757,0.00489519,0.00489519,0.00489519
18,1590.89,0.03873,0.84267,1.41479,0.75873,0.76378,0.80093,0.42051,0.0402,0.80391,1.59736,0.00455302,0.00455302,0.00455302
19,1671.4,0.03795,0.82469,1.41104,0.67112,0.73579,0.75903,0.39809,0.04019,0.75373,1.58109,0.00421084,0.00421084,0.00421084
20,1762.79,0.03742,0.79818,1.38039,0.79164,0.76455,0.80947,0.44146,0.03991,0.73234,1.57608,0.00386867,0.00386867,0.00386867
21,1888.76,0.0366,0.74147,1.38641,0.79426,0.77733,0.81989,0.43268,0.03938,0.73496,1.57055,0.00352649,0.00352649,0.00352649
22,1972.64,0.03656,0.71309,1.38268,0.82376,0.70853,0.76694,0.42673,0.03975,0.74537,1.59822,0.00318432,0.00318432,0.00318432
23,2056.89,0.03636,0.71344,1.37682,0.82512,0.73815,0.8079,0.44803,0.03886,0.72067,1.55025,0.00284214,0.00284214,0.00284214
24,2135.25,0.03598,0.69776,1.35893,0.76371,0.82061,0.84873,0.43436,0.03955,0.70575,1.56704,0.00249997,0.00249997,0.00249997
25,2211.17,0.03521,0.67967,1.34389,0.83694,0.71962,0.79059,0.43244,0.03902,0.70629,1.54418,0.00215779,0.00215779,0.00215779
26,2293.62,0.03475,0.66575,1.32737,0.84434,0.70054,0.78354,0.42989,0.0388,0.69962,1.54157,0.00181561,0.00181561,0.00181561
27,2369.76,0.03447,0.64739,1.31629,0.75391,0.76657,0.83097,0.46669,0.03817,0.65607,1.51729,0.00147344,0.00147344,0.00147344
28,2443.55,0.03395,0.63634,1.311,0.89066,0.72933,0.83024,0.47065,0.03775,0.65765,1.50724,0.00113126,0.00113126,0.00113126
29,2522.15,0.0337,0.62129,1.30676,0.85915,0.73288,0.82238,0.46182,0.03752,0.64554,1.50547,0.000789088,0.000789088,0.000789088
30,2596.77,0.03338,0.6095,1.29222,0.87037,0.75835,0.83441,0.46486,0.03818,0.64372,1.52578,0.000446912,0.000446912,0.000446912
