fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,degrees,translate,scale,shear,hsv_h,hsv_s,hsv_v,fliplr,mosaic,mixup
0.51169,0.01,0.01,0.937,0.0005,3.0,0.8,0.2,0.5,1.5,0.0,0.1,0.5,0.0,0.015,0.7,0.4,0.5,1.0,0.0
0.50596,0.01091,0.01044,0.98,0.00051,2.89986,0.8,0.2,0.5,1.65253,0.0,0.1,0.50182,0.0,0.01593,0.60938,0.3324,0.5,0.97799,0.0
0.51835,0.00956,0.01,0.90647,0.00044,2.54198,0.8,0.2,0.42704,1.11375,0.0,0.09209,0.44093,0.0,0.01211,0.77686,0.41061,0.55965,0.6277,0.0
0.48582,0.01001,0.01,0.98,0.00051,2.57746,0.90809,0.18662,0.53308,1.06169,0.0,0.07118,0.42492,0.0,0.01049,0.76378,0.4353,0.48204,0.55916,0.0
0.49948,0.01061,0.01,0.94832,0.00044,2.42442,0.76825,0.2,0.35868,0.94085,0.0,0.09574,0.46755,0.0,0.01296,0.82643,0.41061,0.63641,0.63982,0.0
0.54314,0.00919,0.01,0.86723,0.00041,2.54198,0.73128,0.19874,0.42704,1.23033,0.0,0.08934,0.43259,0.0,0.01166,0.7758,0.37828,0.49876,0.60656,0.0
0.50366,0.01017,0.01,0.91966,0.00056,3.45543,0.79855,0.2,0.5514,1.57256,0.0,0.10095,0.48123,0.0,0.01609,0.6514,0.39501,0.5,0.91956,0.0
0.5066,0.01037,0.0101,0.77169,0.00041,2.09534,0.69376,0.2,0.42704,1.45429,0.0,0.09268,0.43259,0.0,0.01177,0.8464,0.37011,0.47311,0.53747,0.0
0.5045,0.00944,0.01,0.98,0.00044,2.61588,0.81173,0.2,0.43807,1.09428,0.0,0.09021,0.43808,0.0,0.01167,0.74459,0.41061,0.51305,0.6626,0.0
0.50577,0.01007,0.01021,0.87079,0.00043,2.51361,0.77733,0.2,0.41033,1.23895,0.0,0.07883,0.47365,0.0,0.01155,0.81492,0.40958,0.50112,0.5945,0.0
0.50977,0.00948,0.01316,0.82351,0.0005,2.70743,0.81396,0.16752,0.42704,1.23033,0.0,0.10874,0.43259,0.0,0.0127,0.80932,0.35367,0.54516,0.62749,0.0
0.50848,0.0094,0.01316,0.81917,0.0005,2.73919,0.81055,0.1694,0.44402,1.23853,0.0,0.10965,0.43259,0.0,0.01315,0.80574,0.35367,0.52826,0.61335,0.0
0.51811,0.00928,0.01,0.83439,0.00038,2.50574,0.74706,0.18684,0.44807,1.20028,0.0,0.08934,0.44994,0.0,0.01253,0.79709,0.36487,0.49876,0.63217,0.0
0.52096,0.00919,0.01,0.86723,0.00045,2.92939,0.73128,0.1856,0.38204,1.29278,0.0,0.08934,0.45337,0.0,0.01266,0.78623,0.38049,0.47408,0.61456,0.0
0.50875,0.00908,0.01008,0.87361,0.00041,2.53495,0.73128,0.19928,0.42432,1.23033,0.0,0.08871,0.43259,0.0,0.01166,0.78398,0.3764,0.49876,0.60656,0.0
0.5199,0.00651,0.01,0.83524,0.00047,2.50574,0.79226,0.12069,0.53784,1.20028,0.0,0.08855,0.45193,0.0,0.01479,0.9,0.23922,0.49859,0.54027,0.0
0.50681,0.00846,0.01074,0.86723,0.00039,2.68507,0.74337,0.19874,0.38405,1.29977,0.0,0.08934,0.43259,0.0,0.01166,0.72189,0.27165,0.5173,0.56761,0.0
0.52138,0.0094,0.01,0.87878,0.00045,2.91568,0.72585,0.1856,0.38204,1.29133,0.0,0.08934,0.45607,0.0,0.01271,0.78623,0.37518,0.47114,0.61562,0.0
0.52644,0.01008,0.01,0.86723,0.00036,2.90226,0.64021,0.19874,0.43684,1.11108,0.0,0.08934,0.50312,0.0,0.01138,0.7758,0.3977,0.42728,0.69891,0.0
0.51932,0.00994,0.01054,0.98,0.00033,3.14996,0.74396,0.2,0.431,1.11108,0.0,0.08934,0.48993,0.0,0.01148,0.84096,0.3977,0.40195,0.75143,0.0
0.0,0.01035,0.01067,0.93275,0.00044,2.51885,0.79594,0.2,0.46383,1.23033,0.0,0.10059,0.43599,0.0,0.01253,0.8059,0.40156,0.49876,0.60855,0.0
